"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","marca o tipo de atendimento ""Ajuda","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:04 GMT 2025","passed","Thu May 29 17:59:04 GMT 2025","","","",""
"","972","envia o formulário com sucesso usando um comando customizado e valores padrão","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:00 GMT 2025","passed","Thu May 29 17:59:01 GMT 2025","","","",""
"","175","seleciona um produto (Blog) por seu value","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:02 GMT 2025","passed","Thu May 29 17:59:03 GMT 2025","","","",""
"","185","seleciona um produto (Mentoria) por seu texto","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:01 GMT 2025","passed","Thu May 29 17:59:02 GMT 2025","","","",""
"","129","marca o tipo de atendimento ""Feedback","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:04 GMT 2025","passed","Thu May 29 17:59:04 GMT 2025","","","",""
"","96","verificar que a política de privacidade abre em outra aba sem a necessidade de um clique","Trabalhando com novas Abas","Thu May 29 17:58:51 GMT 2025","passed","Thu May 29 17:58:51 GMT 2025","","","",""
"","181","seleciona um produto (Mentoria) por seu value","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:02 GMT 2025","passed","Thu May 29 17:59:02 GMT 2025","","","",""
"","201","marca o tipo de atendimento com ""each","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:04 GMT 2025","passed","Thu May 29 17:59:04 GMT 2025","","","",""
"","170","seleciona um produto (YouTube) por seu indice","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:03 GMT 2025","passed","Thu May 29 17:59:03 GMT 2025","","","",""
"","179","seleciona um produto (Cursos) por seu value","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:03 GMT 2025","passed","Thu May 29 17:59:03 GMT 2025","","","",""
"","127","exibe mensagem de erro ao submeter o formulário sem preencher os campos obrigatórios","Central de Atendimento ao Cliente TAT","Thu May 29 17:58:59 GMT 2025","passed","Thu May 29 17:58:59 GMT 2025","","","",""
"","181","seleciona um produto (Cursos) por seu indice","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:03 GMT 2025","passed","Thu May 29 17:59:04 GMT 2025","","","",""
"","238","campo telefone continua vazio quando preenchido com um valor não-numérico","Central de Atendimento ao Cliente TAT","Thu May 29 17:58:56 GMT 2025","passed","Thu May 29 17:58:56 GMT 2025","","","",""
